city,zone,zone_type,locality
Kolkata,Santoshpur,ZONE,Santoshpur Avenue
Kolkata,Dum dum,ZONE,Satchasipara
Kolkata,Central,ZONE,Tala
North 24 Parganas,North 24 Parganas,ZONE,Kampa
Chittoor,Chittoor,ZONE,Valasapalle
Kanpur,Kidwai Nagar,ZONE,Juhi Colony
Lucknow,Aliganj,ZONE,Itaunja
Panchkula,Panchkula,ZONE,Barwala
Mysore,Mysore,ZONE,Naganahalli
Mysore,Mysore,ZONE,Hareenahalli
South Goa,South Goa,ZONE,Querim
Mysore,Mysore,ZONE,Tagadur
Kannur,Kannur,ZONE,Areekamala
Kottayam,Kottayam,ZONE,Chemmanathukara
Tirunelveli,Tirunelveli,ZONE,Kilakku Kalakad
Tirunelveli,Tirunelveli,ZONE,T.Vijayanarayanam
Aurangabad (BH),Aurangabad (BH),ZONE,Kurhwan
Bilaspur,Bilaspur,ZONE,Korja
Bilaspur,Bilaspur,ZONE,Dhandhan
North Goa,North Goa,ZONE,Betim
Guntur,Guntur,ZONE,Chandavaram
Amritsar,Amritsar,ZONE,Chananke
Tangerang,Tangerang,ZONE,Karang Mulya
Aurangabad,Aurangabad,ZONE,Shivaji Nagar
North 24 Parganas,North 24 Parganas,ZONE,Srikrishnapur
Bangalore,Marathahalli,ZONE,Panathur
Chittoor,Chittoor,ZONE,Simharajapuram
Guntur,Guntur,ZONE,Valluru
Guntur,Guntur,ZONE,Madala
Nellore,Nellore,ZONE,Nidigurthi
Salem,Salem,ZONE,Mettur Thermal Project
Amritsar,Amritsar,ZONE,Thatha
North Goa,North Goa,ZONE,Torxem
Hyderabad,Lb nagar,ZONE,Nagole
Faridabad,Faridabad,ZONE,Sector-29
Faridabad,Faridabad,ZONE,Hathin
Tangerang,Tangerang,ZONE,Karang Sari
North 24 Parganas,North 24 Parganas,ZONE,Gokna
Kottayam,Kottayam,ZONE,Alanad
Kozhikode,Kozhikode,ZONE,Tiruvannur
North 24 Parganas,North 24 Parganas,ZONE,Harishpur
North 24 Parganas,North 24 Parganas,ZONE,Thakurnagar
Gurgaon,Badsharpur,ZONE,Gurgaon Sector 50
Kottayam,Kottayam,ZONE,Velathusseri
Thrissur,Thrissur,ZONE,Chowannur
Jaipur,Malviya Nagar,ZONE,Nayla
Guntur,Guntur,ZONE,Chintallanka
Erode,Erode,ZONE,Kolanalli
Karur,Karur,ZONE,Chinnadharapuram
